# Figure 3: Hits@K Curves on Weibo Dataset
# Shows performance at different K values

K,MIDPMS_mean,MIDPMS_std,HyperIDP_mean,HyperIDP_std,DSHCL_mean,DSHCL_std,HSTGAT_mean,HSTGAT_std
1,0.156,0.008,0.167,0.007,0.178,0.006,0.212,0.005
2,0.198,0.009,0.213,0.008,0.228,0.007,0.267,0.006
3,0.234,0.009,0.251,0.008,0.268,0.007,0.312,0.006
5,0.312,0.010,0.328,0.009,0.341,0.008,0.389,0.007
7,0.367,0.010,0.385,0.009,0.401,0.008,0.451,0.007
10,0.423,0.009,0.441,0.008,0.456,0.007,0.510,0.006
15,0.489,0.009,0.509,0.008,0.526,0.007,0.578,0.006
20,0.534,0.008,0.556,0.007,0.572,0.006,0.634,0.005
30,0.598,0.008,0.621,0.007,0.638,0.006,0.698,0.005
50,0.678,0.007,0.701,0.006,0.718,0.005,0.778,0.004
70,0.734,0.006,0.758,0.005,0.774,0.005,0.832,0.004
100,0.789,0.006,0.812,0.005,0.824,0.004,0.876,0.003
