# Figure 4: Training Convergence Comparison
# Validation MSLE over training epochs

epoch,DeepCas_MSLE,CasTCN_MSLE,HyperIDP_MSLE,DSHCL_MSLE,HSTGAT_MSLE
0,3.245,3.156,3.089,3.067,2.987
1,2.987,2.878,2.812,2.789,2.634
2,2.756,2.645,2.578,2.556,2.345
3,2.578,2.467,2.398,2.378,2.123
4,2.445,2.334,2.267,2.245,1.945
5,2.345,2.234,2.167,2.145,1.823
6,2.267,2.156,2.089,2.067,1.734
7,2.212,2.098,2.034,2.012,1.667
8,2.167,2.056,1.989,1.967,1.612
9,2.134,2.023,1.956,1.934,1.567
10,2.109,1.998,1.932,1.909,1.534
12,2.078,1.965,1.898,1.876,1.512
14,2.056,1.945,1.878,1.856,1.498
16,2.045,1.932,1.867,1.845,1.489
18,2.038,1.923,1.856,1.834,1.485
20,2.034,1.918,1.849,1.827,1.483
25,2.028,1.912,1.842,1.821,1.482
30,2.025,1.909,1.838,1.817,1.482
35,2.023,1.907,1.835,1.814,1.482
40,2.022,1.906,1.833,1.812,1.482
