# Figure 7: Case Study Examples
# (a) Macroscopic prediction for viral content
# (b) Microscopic next-user prediction

# (a) Cascade Growth Trajectory - Viral Content Case
# time_hours: hours since cascade start
# ground_truth: actual cumulative cascade size
# HSTGAT_pred: HSTGAT predicted size
# DSHCL_pred: DSHCL baseline predicted size
# observation_window ends at t=1 hour

time_hours,ground_truth,HSTGAT_pred,DSHCL_pred,is_observation
0.0,1,1,1,1
0.1,3,3,3,1
0.2,7,7,7,1
0.3,12,12,12,1
0.4,18,18,18,1
0.5,26,26,26,1
0.6,35,35,35,1
0.7,45,45,45,1
0.8,56,56,56,1
0.9,68,68,68,1
1.0,82,82,82,1
1.5,112,108,95,0
2.0,145,141,118,0
2.5,178,175,138,0
3.0,212,208,156,0
4.0,267,263,185,0
5.0,312,309,208,0
6.0,356,353,228,0
8.0,423,421,262,0
10.0,478,476,289,0
12.0,523,521,312,0
16.0,589,587,348,0
20.0,634,632,378,0
24.0,667,663,402,0

# Final size comparison
# Method,Predicted_Size,Ground_Truth,Error
final_predictions
HSTGAT,663,667,4
DSHCL,402,667,265

# (b) Microscopic Next-User Prediction
# Candidate ranking scores for a specific cascade
# user_id,HSTGAT_score,DSHCL_score,is_actual_next_user,user_type

candidate_scores
User_A,0.85,0.42,1,influencer
User_B,0.72,0.67,0,active_user
User_C,0.68,0.58,0,active_user
User_D,0.61,0.54,0,follower
User_E,0.54,0.51,0,follower
User_F,0.48,0.49,0,follower
User_G,0.43,0.45,0,casual
User_H,0.38,0.43,0,casual
User_I,0.32,0.38,0,casual
User_J,0.28,0.35,0,casual

# HSTGAT correctly ranks User_A (actual next adopter, an influencer) as #1
# DSHCL incorrectly ranks User_B (active but non-influential) as #1
