method,dataset,metric,run1,run2,run3,run4,run5,mean,std
DeepCas,Weibo,MSLE,2.198,2.134,2.167,2.112,2.169,2.156,0.042
DeepCas,Weibo,MAPE,52.5,50.1,51.8,49.9,52.2,51.3,1.2
DeepCas,Twitter,MSLE,1.931,1.855,1.902,1.878,1.899,1.893,0.038
DeepCas,Twitter,MAPE,43.8,41.8,42.9,42.1,43.4,42.8,1.0
DeepCas,APS,MSLE,1.685,1.623,1.654,1.639,1.669,1.654,0.031
DeepCas,APS,MAPE,39.1,37.3,38.2,37.5,38.9,38.2,0.9
CasCN,Weibo,MSLE,1.911,1.841,1.876,1.858,1.894,1.876,0.035
CasCN,Weibo,MAPE,45.2,43.2,44.2,43.5,44.9,44.2,1.0
CasCN,Twitter,MSLE,1.730,1.666,1.698,1.682,1.714,1.698,0.032
CasCN,Twitter,MAPE,38.9,37.3,38.1,37.6,38.6,38.1,0.8
CasCN,APS,MSLE,1.451,1.395,1.423,1.408,1.438,1.423,0.028
CasCN,APS,MAPE,33.3,31.9,32.6,32.2,33.0,32.6,0.7
CasTCN,Weibo,MSLE,1.785,1.723,1.754,1.739,1.769,1.754,0.031
CasTCN,Weibo,MAPE,42.5,40.7,41.6,41.0,42.2,41.6,0.9
CasTCN,Twitter,MSLE,1.641,1.583,1.612,1.598,1.626,1.612,0.029
CasTCN,Twitter,MAPE,36.9,35.5,36.2,35.8,36.6,36.2,0.7
CasTCN,APS,MSLE,1.359,1.309,1.334,1.321,1.347,1.334,0.025
CasTCN,APS,MAPE,30.7,29.5,30.1,29.8,30.4,30.1,0.6
MIDPMS,Weibo,MSLE,1.726,1.670,1.698,1.684,1.712,1.698,0.028
MIDPMS,Weibo,MAPE,40.6,39.0,39.8,39.3,40.3,39.8,0.8
MIDPMS,Twitter,MSLE,1.581,1.527,1.554,1.541,1.567,1.554,0.027
MIDPMS,Twitter,MAPE,35.1,33.9,34.5,34.2,34.8,34.5,0.6
MIDPMS,APS,MSLE,1.301,1.255,1.278,1.267,1.289,1.278,0.023
MIDPMS,APS,MAPE,29.1,28.1,28.6,28.3,28.9,28.6,0.5
HyperIDP,Weibo,MSLE,1.680,1.628,1.654,1.641,1.667,1.654,0.026
HyperIDP,Weibo,MAPE,39.4,38.0,38.7,38.3,39.1,38.7,0.7
HyperIDP,Twitter,MSLE,1.537,1.487,1.512,1.500,1.524,1.512,0.025
HyperIDP,Twitter,MAPE,33.8,32.6,33.2,32.9,33.5,33.2,0.6
HyperIDP,APS,MSLE,1.266,1.224,1.245,1.234,1.256,1.245,0.021
HyperIDP,APS,MAPE,28.3,27.3,27.8,27.5,28.1,27.8,0.5
DSHCL,Weibo,MSLE,1.647,1.599,1.623,1.611,1.635,1.623,0.024
DSHCL,Weibo,MAPE,38.5,37.3,37.9,37.5,38.3,37.9,0.6
DSHCL,Twitter,MSLE,1.510,1.464,1.487,1.476,1.498,1.487,0.023
DSHCL,Twitter,MAPE,32.9,31.9,32.4,32.1,32.7,32.4,0.5
DSHCL,APS,MSLE,1.231,1.193,1.212,1.202,1.222,1.212,0.019
DSHCL,APS,MAPE,27.3,26.5,26.9,26.7,27.1,26.9,0.4
HSTGAT,Weibo,MSLE,1.503,1.461,1.482,1.471,1.493,1.482,0.021
HSTGAT,Weibo,MAPE,34.7,33.7,34.2,33.9,34.5,34.2,0.5
HSTGAT,Twitter,MSLE,1.379,1.339,1.359,1.349,1.369,1.359,0.020
HSTGAT,Twitter,MAPE,29.5,28.7,29.1,28.9,29.3,29.1,0.4
HSTGAT,APS,MSLE,1.122,1.088,1.105,1.097,1.113,1.105,0.017
HSTGAT,APS,MAPE,24.0,23.4,23.7,23.5,23.9,23.7,0.3
