method,dataset,metric,run1,run2,run3,run4,run5,mean,std
DeepCas,Weibo,Hits@10,0.324,0.300,0.312,0.306,0.318,0.312,0.012
DeepCas,Weibo,MAP@10,0.195,0.179,0.187,0.183,0.191,0.187,0.008
DeepCas,Twitter,Hits@10,0.309,0.287,0.298,0.293,0.303,0.298,0.011
DeepCas,Twitter,MAP@10,0.183,0.169,0.176,0.172,0.180,0.176,0.007
DeepCas,APS,Hits@10,0.277,0.257,0.267,0.262,0.272,0.267,0.010
DeepCas,APS,MAP@10,0.162,0.150,0.156,0.153,0.159,0.156,0.006
CoupledGNN,Weibo,Hits@10,0.408,0.388,0.398,0.393,0.403,0.398,0.010
CoupledGNN,Weibo,MAP@10,0.248,0.234,0.241,0.237,0.245,0.241,0.007
CoupledGNN,Twitter,Hits@10,0.385,0.367,0.376,0.371,0.381,0.376,0.009
CoupledGNN,Twitter,MAP@10,0.234,0.222,0.228,0.225,0.231,0.228,0.006
CoupledGNN,APS,Hits@10,0.342,0.326,0.334,0.330,0.338,0.334,0.008
CoupledGNN,APS,MAP@10,0.203,0.193,0.198,0.195,0.201,0.198,0.005
MIDPMS,Weibo,Hits@10,0.432,0.414,0.423,0.418,0.428,0.423,0.009
MIDPMS,Weibo,MAP@10,0.268,0.256,0.262,0.259,0.265,0.262,0.006
MIDPMS,Twitter,Hits@10,0.409,0.393,0.401,0.397,0.405,0.401,0.008
MIDPMS,Twitter,MAP@10,0.253,0.243,0.248,0.245,0.251,0.248,0.005
MIDPMS,APS,Hits@10,0.365,0.351,0.358,0.354,0.362,0.358,0.007
MIDPMS,APS,MAP@10,0.228,0.218,0.223,0.220,0.226,0.223,0.005
HyperIDP,Weibo,Hits@10,0.449,0.433,0.441,0.437,0.445,0.441,0.008
HyperIDP,Weibo,MAP@10,0.283,0.273,0.278,0.275,0.281,0.278,0.005
HyperIDP,Twitter,Hits@10,0.425,0.411,0.418,0.414,0.422,0.418,0.007
HyperIDP,Twitter,MAP@10,0.263,0.255,0.259,0.257,0.261,0.259,0.004
HyperIDP,APS,Hits@10,0.378,0.366,0.372,0.369,0.375,0.372,0.006
HyperIDP,APS,MAP@10,0.238,0.230,0.234,0.232,0.236,0.234,0.004
DSHCL,Weibo,Hits@10,0.463,0.449,0.456,0.452,0.460,0.456,0.007
DSHCL,Weibo,MAP@10,0.294,0.284,0.289,0.286,0.292,0.289,0.005
DSHCL,Twitter,Hits@10,0.438,0.426,0.432,0.429,0.435,0.432,0.006
DSHCL,Twitter,MAP@10,0.275,0.267,0.271,0.269,0.273,0.271,0.004
DSHCL,APS,Hits@10,0.394,0.384,0.389,0.386,0.392,0.389,0.005
DSHCL,APS,MAP@10,0.249,0.241,0.245,0.243,0.247,0.245,0.004
HSTGAT,Weibo,Hits@10,0.516,0.504,0.510,0.507,0.513,0.510,0.006
HSTGAT,Weibo,MAP@10,0.328,0.320,0.324,0.322,0.326,0.324,0.004
HSTGAT,Twitter,Hits@10,0.488,0.478,0.483,0.480,0.486,0.483,0.005
HSTGAT,Twitter,MAP@10,0.310,0.304,0.307,0.305,0.309,0.307,0.003
HSTGAT,APS,Hits@10,0.439,0.431,0.435,0.433,0.437,0.435,0.004
HSTGAT,APS,MAP@10,0.281,0.275,0.278,0.276,0.280,0.278,0.003
